point,delta,pred_std,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
139,3.406194,0.136241,89.694632,0.448865,-0.658407,1.314578,1.498771,0.474921,0.491137
140,3.407988,0.136542,89.696425,0.455545,-0.662707,1.315001,1.49989,0.490349,0.491144
143,3.416625,0.138807,89.705062,0.446359,-0.758181,1.315104,1.452296,0.478188,0.491144
180,3.418305,0.139051,89.706743,0.446359,-0.759491,1.315104,1.459652,0.478182,0.491144
194,3.426389,0.140478,89.714826,0.44693,-0.760387,1.315133,1.499907,0.490349,0.491144
61,3.426446,0.140788,89.714883,0.455545,-0.758797,1.315001,1.49989,0.490349,0.491144
62,3.436208,0.146557,89.724646,0.441954,-0.886973,1.315118,1.499887,0.604094,-0.097468
144,3.43658,0.146668,89.725017,0.446969,-0.886973,1.315115,1.499994,0.586398,-0.097468
83,3.449339,0.148136,89.737776,0.448388,-1.023186,1.314167,1.442364,0.554607,-0.090721
55,3.454251,0.148603,89.742688,0.446419,-0.984409,1.314969,1.499874,0.479223,-0.100096
39,3.463484,0.153208,89.751921,0.452374,-1.020686,1.314122,1.498849,0.468117,-0.073742
104,3.470017,0.154008,89.758454,0.452399,-1.124969,1.314155,1.443764,0.554607,-0.090721
14,3.477386,0.155907,89.765823,0.452192,-1.124969,1.314069,1.48186,0.554607,-0.090721
15,3.51821,0.155942,89.806648,0.446663,-0.959144,1.315074,1.497022,1.495777,0.511376
151,3.529368,0.156468,89.817805,0.446142,-1.022586,1.315159,1.497881,1.494355,0.499262
137,3.531032,0.157395,89.81947,0.464426,-1.022586,1.315128,1.499826,1.494355,0.50516
90,3.5385,0.159567,89.826938,0.450036,-1.216997,1.315045,1.355102,1.477451,0.544713
154,3.540525,0.161966,89.828962,0.450036,-1.216997,1.315045,1.355102,1.49574,0.544713
147,3.546702,0.162441,89.835139,0.447021,-1.263132,1.315132,1.347648,1.49574,0.544713
115,3.556085,0.162689,89.844523,0.464384,-1.227562,1.315128,1.439717,1.494355,0.50516
