year,team_id,team,W,L,G,RS,RA,home_wp,away_wp,onerun_wp,onerun_n,xi_wp,ERA,WHIP,K9,BB9,SV,SVO,BS,sv_pct,FIP,era_fip_diff,HR9,babip_against,go_ao,ir_pct,SB,CS,sb_pct,LOB,OPS,babip_off,SV_top1,Top1_SV_Ratio
2017,118,Kansas City Royals,80,82,162,702,791,0.5308641975308642,0.4567901234567901,0.6097560975609756,41,0.3636363636363636,4.61,1.39,7.61,3.25,39,60,21,0.65,4.443,0.167,1.227,0.305,0.96,0.31,91,31,0.7459016393442623,1005,0.731,0.295,26,0.6666666666666666
2017,145,Chicago White Sox,67,95,162,706,820,0.4814814814814814,0.345679012345679,0.4772727272727273,44,0.5,4.78,1.42,7.55,4.0,25,40,15,0.625,5.182,-0.402,1.533,0.282,0.97,0.296,71,31,0.696078431372549,1055,0.731,0.309,16,0.64
2017,116,Detroit Tigers,64,98,162,735,894,0.419753086419753,0.3703703703703703,0.425,40,0.2,5.36,1.5,7.62,3.41,32,55,23,0.5818181818181818,4.738,0.622,1.382,0.321,0.8,0.36,65,34,0.6565656565656566,1104,0.748,0.306,13,0.40625
2017,117,Houston Astros,101,61,162,896,700,0.5925925925925926,0.654320987654321,0.59375,32,0.5,4.12,1.27,9.91,3.25,45,67,22,0.6716417910447762,3.921,0.199,1.195,0.302,1.23,0.371,98,42,0.7,1094,0.824,0.309,34,0.7555555555555555
2017,108,Los Angeles Angels,80,82,162,710,709,0.5308641975308642,0.4567901234567901,0.5510204081632653,49,0.5333333333333333,4.2,1.28,8.2,2.94,43,65,22,0.6615384615384615,4.441,-0.241,1.4,0.291,0.9,0.256,136,44,0.7555555555555555,1033,0.712,0.277,19,0.4418604651162791
2017,136,Seattle Mariners,78,84,162,750,772,0.4938271604938271,0.4691358024691358,0.6341463414634146,41,0.5833333333333334,4.46,1.31,7.77,3.06,39,65,26,0.6,4.713,-0.253,1.481,0.285,0.85,0.295,89,35,0.717741935483871,1084,0.749,0.3,34,0.8717948717948718
2017,140,Texas Rangers,78,84,162,799,816,0.5061728395061729,0.4567901234567901,0.3513513513513513,37,0.5,4.66,1.4,6.95,3.51,29,50,21,0.58,4.89,-0.23,1.343,0.29,1.05,0.405,113,44,0.7197452229299363,1015,0.75,0.291,11,0.3793103448275862
2017,133,Oakland Athletics,75,87,162,739,826,0.5679012345679012,0.3580246913580246,0.5,42,0.3076923076923077,4.67,1.36,7.56,3.16,35,60,25,0.5833333333333334,4.578,0.092,1.321,0.296,1.07,0.31,57,22,0.7215189873417721,1075,0.755,0.294,18,0.5142857142857142
2017,120,Washington Nationals,97,65,162,819,672,0.5802469135802469,0.6172839506172839,0.5882352941176471,51,0.6363636363636364,3.88,1.24,9.06,3.08,46,64,18,0.71875,4.005,-0.125,1.176,0.29,1.0,0.244,108,30,0.782608695652174,1101,0.781,0.311,26,0.5652173913043478
2017,146,Miami Marlins,77,85,162,778,822,0.5384615384615384,0.4166666666666667,0.45,40,0.5454545454545454,4.82,1.44,7.5,3.91,34,61,27,0.5573770491803278,4.703,0.117,1.204,0.302,0.99,0.374,91,30,0.7520661157024794,1130,0.762,0.313,20,0.5882352941176471
2017,144,Atlanta Braves,72,90,162,732,821,0.4567901234567901,0.4320987654320987,0.4418604651162791,43,0.4285714285714285,4.72,1.42,7.86,3.65,36,59,23,0.6101694915254238,4.518,0.202,1.199,0.306,1.07,0.343,77,31,0.7129629629629629,1127,0.738,0.305,22,0.6111111111111112
2017,121,New York Mets,70,92,162,735,863,0.4567901234567901,0.4074074074074074,0.4666666666666667,45,0.2727272727272727,5.01,1.49,8.62,3.72,34,54,20,0.6296296296296297,4.604,0.406,1.381,0.322,1.08,0.307,58,23,0.7160493827160493,1099,0.754,0.286,26,0.7647058823529411
2017,143,Philadelphia Phillies,66,96,162,690,782,0.4814814814814814,0.3333333333333333,0.3684210526315789,57,0.4117647058823529,4.55,1.39,8.18,3.29,33,57,24,0.5789473684210527,4.575,-0.025,1.38,0.307,0.98,0.344,59,25,0.7023809523809523,1079,0.724,0.304,26,0.7878787878787878
2017,112,Chicago Cubs,92,70,162,822,695,0.5925925925925926,0.5432098765432098,0.6046511627906976,43,0.7,3.95,1.28,8.95,3.44,38,57,19,0.6666666666666666,4.209,-0.259,1.207,0.288,1.18,0.321,62,31,0.6666666666666666,1147,0.775,0.302,32,0.8421052631578947
2017,158,Milwaukee Brewers,86,76,162,732,697,0.5476190476190477,0.5128205128205128,0.5319148936170213,47,0.3125,4.0,1.34,8.38,3.44,54,79,25,0.6835443037974683,4.252,-0.252,1.152,0.301,1.18,0.286,128,41,0.757396449704142,1088,0.751,0.308,39,0.7222222222222222
2017,138,St. Louis Cardinals,83,79,162,761,705,0.5432098765432098,0.4814814814814814,0.4528301886792453,53,0.3571428571428571,4.01,1.3,8.38,3.06,43,60,17,0.7166666666666667,4.106,-0.096,1.136,0.301,1.2,0.339,81,31,0.7232142857142857,1118,0.76,0.304,20,0.46511627906976744
2017,134,Pittsburgh Pirates,75,87,162,668,731,0.5432098765432098,0.382716049382716,0.4545454545454545,44,0.4705882352941176,4.22,1.37,7.88,3.19,36,57,21,0.631578947368421,4.246,-0.026,1.137,0.31,1.16,0.281,67,36,0.6504854368932039,1129,0.704,0.286,21,0.5833333333333334
